Name (international):,Name (local):,Type of institution:,Address:,City:,Phone:,Fax:,Email:,N/A
"Air University (Maxwell-Gunter Air Force Base Montgomery, Alabama)",USAF Air University,University,55 LeMay Plaza South,Montgomery,"+1 (334) 953-2014,+1 (334) 953-1110",+1 334-953-6040,research.support@maxwell.af.mil,N/A
Alabama Agricultural and Mechanical University,Alabama A&M University,University,4900 Meridian Street North,Huntsville,+1 (256) 372 5000,+1 (256) 372 5249,info@aamu.edu,N/A
Alabama College of Osteopathic Medicine,Alabama College of Osteopathic Medicine,College,445 Health Sciences Boulevard,Dothan,+1 (334) 699-2266,+1 (334) 699-2268,info@acomedu.org,N/A
Alabama School of Fine Arts,Alabama School of Fine Arts,College,"1800 Rev Abraham Woods, Jr, Blvd",Birmingham,+1 (205) 252-9241,+1 (205) 251-9541,,N/A
Alabama Southern Community College,Alabama Southern Community College - Jackson Campus,College,P.O. Box 2000 235 College Avenue,Jackson,+1 (251) 246-0010,+1 (251) 246-9998,mbmurphy@ascc.edu,N/A
Alabama Southern Community College,Alabama Southern Community College - Jackson Campus,College,P.O. Box 2000 235 College Avenue,Jackson,+1 (251) 246-0010,+1 (251) 246-9998,mbmurphy@ascc.edu,N/A
Alabama Southern Community College,Alabama Southern Community College - Jackson Campus,College,P.O. Box 2000 235 College Avenue,Jackson,+1 (251) 246-0010,+1 (251) 246-9998,mbmurphy@ascc.edu,N/A
Alabama Southern Community College,Alabama Southern Community College - Jackson Campus,College,P.O. Box 2000 235 College Avenue,Jackson,+1 (251) 246-0010,+1 (251) 246-9998,mbmurphy@ascc.edu,N/A
Alabama State University,Alabama State University,University,915 S Jackson Street,Montgomery,+1 (334) 229 4100,+1 (334) 834 6861,jobs@alasu.edu,N/A
Amridge University,Amridge University,University,1200 Taylor Road,Montgomery,"+1 (334) 387-7000,+1 (334) 387 3877",+1 (334) 387 3878,admissions@amridgeuniversity.edu,N/A
Alaska Bible College,Alaska Bible College,College,PO Box 289,Glennallen,"+1 (907) 822-5027,+1 (907) 822-3201,+1 (907) 822-3201",+1 (907) 822 5227,info@akbible.edu,info@akbible.edu
Alaska Pacific University,Alaska Pacific University,University,2043 College Way,Anchorage,+1 877 722 8648,+1 (503) 352 2242,admissions@alaskapacific.edu,admissions@alaskapacific.edu
"College of Business and Public Policy, University of Alaska Anchorage","University of Alaska Anchorage, Business School",College,"3211 Providence Drive, RH-306","Anchorage, Alaska",+1 (907) 786-4121,+1 (907) 786-4131,,N/A
Ilisagvik College,Ilisagvik College,College,"P.O Box 749, 100 Stevenson St",Barrow,"+1 (907) 852-3333,+1 (800) 478-7337",+1 (907) 852-2729,rob.carrillo@ilisagvik.cc,rob.carrillo@ilisagvik.cc
Kenai Peninsula College - Kachemak Bay Campus,Kenai Peninsula College - University of Alaska Anchorage,College,533 East Pioneer Ave.,"Homer, Alaska",+1 (907) 235-7743,+1 907-235-0316,kbcinfo@kpc.alaska.edu,N/A
Kenai Peninsula College - Kenai River Campus,Kenai Peninsula College - University of Alaska Anchorage,College,156 College Rd.,"Soldotna, Alaska",+1 (877) 262-0330,+1 907-235-0316,iyinfo@kpc.alaska.edu,N/A
Kenai Peninsula College - Resurrection Bay Extension Site,Kenai Peninsula College - University of Alaska Anchorage,College,P.O. Box 1049,"Seward, Alaska",+1 (907) 224-2285,+1 907-235-0316,kbcinfo@kpc.alaska.edu,N/A
Kenai Peninsula College -Anchorage Extension Site,Kenai Peninsula College - University of Alaska Anchorage,College,3901 Old Seward Highway,"Anchorage, Alaska",+1 (907) 786-6421,+1 907-235-0316,kbcinfo@kpc.alaska.edu,N/A
Kodiak College,"Kodiak College, University of Alaska Anchorage",College,117 Benny Benson Drive,"Kodiak, Alaska","+1 (907) 486-4161,+1 (800) 486-7660",+1 907-486-1268,dgritman@kodiak.alaska.edu,N/A
Matanuska-Susitna College,Matanuska-Susitna College - University of Alaska Anchorage,College,PO Box 2889,"Palmer, Alaska","+1 (907) 745-9774,+1 (907) 745-9746",+1 (907) 745-9747,info@matsu.alaska.edu,N/A
A.T. Still University,A.T. Still University (ATSU),University,800 W. Jefferson St.,Kirksville,+1 (660) 626 2121,+1 (660) 626 2672,registrars@atsu.edu,hraz@atsu.edu
American Indian College,American Indian College of the Assemblies of God,College,10020 N. 15th Ave,"Phoenix, Arizona",+1 (602) 944-3335,+1 (602) 943-8299,info@aicag.edu,N/A
Anthem College,Anthem College,College,1515 E. Indian School Rd,Phoenix,,,,N/A
Argosy University - Phoenix,,University,2233 W. Dunlap Ave.,Phoenix,,,rriutta@argosy.edu,N/A
Arizona Christian University,Arizona Christian University,University,2625 E. Cactus Road,Phoenix,+1 (602) 386-4100,+1 (602) 404-2159,info@arizonachristian.edu,N/A
Arizona College,Arizona College (Formerly Arizona College of Allied Health),College,4425 W Olive Ave 300,"Glendale, Arizona",+1 (602) -222-9300,623-298-1329,contact@arizonacollege.edu,N/A
"Arizona School of Massage Therapy, Tempe","Arizona School of Massage Therapy, Tempe, AZ",College,"1409 W. Southern Ave., Suite 6","Tempe, AZ",+1 480-983-2222,+1 480-784-9477,,N/A
Arizona State University,Arizona State University,University,PO Box 872803,Phoenix,"480-965-7788, 480-965-6113, +1 (480) 965 2688",+1 (480) 965 3610,registrar@asu.edu,HRESC@asu.edu
Arizona State University - Downtown Phoenix Campus,Arizona State University - Downtown Phoenix Campus,University,411 N. Central Avenue,Phoenix,(602) 496-INFO (4636),,askdpc@asu.edu,N/A
Arizona State University at Tempe,Arizona State University at Tempe,University,"7001 E. Williams Field Road, #20, PO Box 870112","Tempe, Arizona",+1 480-965-7788,+1 480-965-3610,registrar@asu.edu,HRESC@asu.edu
ABC Beauty College,Arkadelphia Beauty College,College,203 S 26th Street,"Arkadelphia, Arkansas",+1 (870) 230-0777,,beautycollege@att.net,Profile
Arkansas State University,Kansas State University,University,"Anderson Hall, PO Box 600","Jonesboro, Arkansas",+1 (870) 972-2100,"+1 (785) 5326393, +1 (870) -972-3288",mdonaghy@astate.eud,Profile
"Arkansas State University - Beebe, Beebe Campus",Arkansas State University - Beebe,University,"1000 Iowa Street, P.O. Box 1000","Beebe, Arkansas","+1 (501) 882-3600,+1 (800) 632-9985",+1 (501) 882-8970,,Profile
"Arkansas State University - Beebe, Heber Springs Campus",Arkansas State University - Beebe,University,101 River Crest Drive,"Heber Springs, Arkansas",+1 (501) 362-1100,+1 (501) 362-1296,,Profile
"Arkansas State University - Beebe, Little Rock Air Force Base Degree Center",Arkansas State University - Beebe,University,"1490 Vandenberg Blvd Suite 115, P. O. Box 1235","Jacksonville, Arkansas",+1 (501) 988-4151,+1 (501) 882-4586,,Profile
Arkansas State University - Newport,Arkansas State University-Newport,University,7648 Victory Blvd.,"Newport, Arkansas",+1 (870) 512-7800,+1 (870) 512-7825,,Profile
