Name (international),Name (local),Type of institution,Address,City,Phone,Fax,Email
"Air University (Maxwell-Gunter Air Force Base Montgomery, Alabama)",USAF Air University,University,55 LeMay Plaza South,Montgomery,"+1 (334) 953-2014,+1 (334) 953-1110",+1 334-953-6040,research.support@maxwell.af.mil
Athens State University,Athens State University,University,300 N Beaty Street,Athens,"+1 (256) 233-8100,+1 (256) 233-8130","+1 (256) 233-8164,+1 (256) 233-8163",web.services@athens.edu
Auburn University,Auburn University,University,Samford Hall,Auburn,"+1 (334) 8444000, 334-844-4784","+1 334-844-6673, 334-844-5971",admissions@auburn.edu
Auburn University at Montgomery,Auburn University at Montgomery,University,"7440 East Drive, P.O. Box 244023",Montgomery,"+1 (334) 244 3000, +1334-244-3615","+1 (334) 244 3952, +1 334-244-3795",admissions@aum.edu
Auburn University College of Liberal Arts,Auburn University College of Liberal Arts,College,321 Tichenor Hall | Auburn University,Auburn,+1 (334) 844-4026,,emailla@auburn.edu
"Auburn University Montgomery, College of Business",School of Business | Auburn University Montgomery,College,P.O. Box 244023,Montgomery,+1 334-244-3000 800-227-2649,+1 334-244-3792,jstrong@aum.edu
"Auburn University, Business School","Auburn University, Business School, Auburn, AL",College,415 W. Magnolia Ave.,"Auburn, AL",+1 (334) 844-4049,,bobropm@auburn.edu
"Auburn University, College of Agriculture","Auburn University, College of Agriculture",College,"107 Comer Hall, Auburn University",Auburn,+1 (334) 844-2345,,agcomm@auburn.edu
"Auburn University, College of Education","Auburn University, College of Education, Curriculum and Teaching",College,3084 Haley Center,Auburn,+1 (334) 844-4446,+1 (334) 844-5785,eduinfo@auburn.edu
Beeson Divinity School,Beeson Divinity School of Samford University,College,"Samford University, 800 Lakeshore Drive",Birmingham,"+1 (800) 888-8266,+1 (205) 726-2991",,bdsinfo@samford.edu
Bevill State Community College - Fayette Campus,Bevill State Community College,College,2631 Temple Avenue N,Fayette,+1 (205) 932-3221,,
Bevill State Community College - Hamilton Campus,Bevill State Community College,College,P. O. Drawer 9,Hamilton,+1 (205) 921-3177,,
Bevill State Community College - Jasper Campus,Bevill State Community College,College,1411 Indiana Ave,Jasper,+1 (205) 387-0511,,
Bevill State Community College - Pickens County,Bevill State Community College,College,"Educational Center, 491 Tuscaloosa Avenue",Carrollton,"+1 (800) 648-3271, ext. 5639",,
Bevill State Community College - Sumiton Campus,Bevill State Community College,College,P. O. Box 800,Sumiton,+1 (205) 648-3271,,
Birmingham-Southern College,Birmingham-Southern College,College,900 Arkadelphia Road,Birmingham,+1 (205) 226 4600,+1 (205) 226 3074,scraft@bsc.edu
Bishop State Community College,,College,351 North Broad Street,"Mobile, AL",+1 (251) 405-7000,,
Brock School of Business | Samford University,Brock School of Business | Samford University,College,"800 Lakeshore Drive, Location: DBH 326",Birmingham,+1 (205) 726-2364,+1 (205) 726-4218,samfordbusiness@samford.edu
Camford University,Camford University,University,3172 Mobile Highway,Montgomery,+1 334-239-9477,+1 334-239-9440,info@camforduniversity.com
Central Alabama Community College,"Central Alabama Community College, Talladega Center",College,1009 South Street East,Talladega,+1 (256) 480-2066,+1 (256) 480-2081,
Chattahoochee Valley Community College,Chattahoochee Valley Community College,College,2602 College Drive,Phenix City,+1 (334) 291-4900,+1 (334) 291-4994,
College of Nursing | University of Alabama in Huntsville,UAH College of Nursing,College,"301 Sparkman Drive, Nursing Building 207",Huntsville,"+1 (256) 824-6742,+1 (256) 824-6669","+1 256-824-4539, 256-824-6739",nursing@uah.edu
